season,round,circuit_id,date,precipitation_mm,temp_max_c,temp_min_c,wind_max_kmh,precipitation_hours,rainfall
2024,11,red_bull_ring,2024-06-30,0.0,29.0,16.7,13.8,0.0,False
2024,12,silverstone,2024-07-07,2.0,16.3,9.2,20.9,8.0,True
2024,13,hungaroring,2024-07-21,0.2,28.5,19.8,10.9,2.0,False
2024,14,spa,2024-07-28,0.0,19.8,12.0,13.9,0.0,False
2024,15,zandvoort,2024-08-25,5.5,18.3,15.3,36.4,9.0,True
2024,16,monza,2024-09-01,19.1,30.8,20.5,21.4,4.0,True
2024,17,baku,2024-09-15,0.0,26.6,19.5,25.9,0.0,False
2024,18,marina_bay,2024-09-22,0.0,32.2,25.1,14.0,0.0,False
2024,19,americas,2024-10-20,0.0,29.4,16.2,13.1,0.0,False
2024,20,rodriguez,2024-10-27,2.4,20.9,11.5,15.5,3.0,True
2024,21,interlagos,2024-11-03,17.9,21.9,19.1,15.2,23.0,True
2024,22,vegas,2024-11-23,0.0,23.0,5.1,25.8,0.0,False
2024,23,losail,2024-12-01,0.0,23.1,17.2,28.6,0.0,False
2024,24,yas_marina,2024-12-08,0.0,30.0,19.1,16.3,0.0,False
2025,1,albert_park,2025-03-16,17.7,25.0,12.4,29.4,17.0,True
2025,2,shanghai,2025-03-23,2.6,27.8,12.4,20.6,4.0,True
2025,3,suzuka,2025-04-06,16.9,15.9,9.0,15.4,10.0,True
2025,4,bahrain,2025-04-13,0.0,30.2,23.8,23.5,0.0,False
2025,5,jeddah,2025-04-20,0.0,35.8,26.5,15.1,0.0,False
2025,6,miami,2025-05-04,2.0,29.0,22.9,11.8,6.0,True
2025,7,imola,2025-05-18,1.0,21.8,12.9,24.8,1.0,True
2025,8,monaco,2025-05-25,0.0,22.0,13.5,11.8,0.0,False
2025,9,catalunya,2025-06-01,0.0,29.8,15.9,9.6,0.0,False
2025,10,villeneuve,2025-06-15,0.0,25.8,11.0,9.3,0.0,False
2025,11,red_bull_ring,2025-06-29,0.0,31.9,14.9,12.2,0.0,False
2025,12,silverstone,2025-07-06,12.1,19.4,14.0,22.8,9.0,True
2025,13,spa,2025-07-27,10.3,19.1,13.2,15.7,19.0,True
2025,14,hungaroring,2025-08-03,3.1,25.9,16.9,20.5,6.0,True
2025,15,zandvoort,2025-08-31,3.4,20.4,17.7,25.6,7.0,True
2025,16,monza,2025-09-07,0.0,25.4,15.1,6.0,0.0,False
2025,17,baku,2025-09-21,2.2,19.1,15.9,26.0,4.0,True
2025,18,marina_bay,2025-10-05,1.8,30.5,24.9,16.4,3.0,True
2025,19,americas,2025-10-19,0.0,29.5,19.7,25.7,0.0,False
2025,20,rodriguez,2025-10-26,0.0,27.2,12.2,13.7,0.0,False
2025,21,interlagos,2025-11-09,1.9,19.5,13.7,17.8,14.0,True
2025,22,vegas,2025-11-23,0.0,18.1,8.2,7.7,0.0,False
2025,23,losail,2025-11-30,0.0,27.0,16.1,12.5,0.0,False
2025,24,yas_marina,2025-12-07,0.0,29.9,19.2,17.0,0.0,False
2026,1,albert_park,2026-03-08,0.0,24.8,14.7,19.7,0.0,False
2026,2,shanghai,2026-03-15,0.8,18.2,8.1,13.4,3.0,True
2026,3,suzuka,2026-03-29,0.0,18.9,7.0,10.1,0.0,False
2026,4,miami,2026-05-03,15.4,27.5,21.6,10.3,16.0,True
